[[256, 5.0, 47968], [1, 51613, 1/1, 0.4811297043373155], 5.084457]
[[256, 5.0, 47968], [2, 51613, 1/1, 4.723076909875846], 9.566445]
[[256, 5.0, 47968], [3, 51613, 1/1, 5.576355780621924], 13.910526]
[[256, 5.0, 47968], [4, 51613, 1/1, 9.192154726263468], 18.99344]
[[256, 5.0, 47968], [5, 51613, 1/1, 13.367710822894107], 25.04086]
[[256, 5.0, 47968], [6, 51613, 1/1, 17.835804932940764], 31.615417]
[[256, 5.0, 47968], [7, 51613, 1/1, 23.452880750620572], 58.967156]
[[256, 5.0, 47968], [8, 51613, 1/1, 30.05241325474298], 117.37968]
[[256, 5.0, 47968], [9, 51613, 1/1, 32.69337739715476], 187.094005]
[[256, 5.0, 47968], [10, 51613, 1/1, 36.79802741751965], 286.26629]
[[256, 5.0, 47968], [11, 51613, 1/1, 39.49690230456401], 367.181774]
[[256, 5.0, 47968], [12, 51613, 1/1, 41.03815506600211], 484.340037]
[[256, 5.0, 47968], [13, 51613, 1/1, 43.246063287243445], 644.559678]
[[256, 5.0, 82236], [1, 80488, 1/1, 4.96756326211868], 5.057171]
[[256, 5.0, 82236], [1, 14544, 1/1, 1.8423850437048175], 5.023976]
[[256, 5.0, 82236], [2, 80488, 1/2, 9.299105606553315], 9.174829]
[[256, 5.0, 82236], [2, 14544, 1/1, 7.1353308752647715], 9.192779]
[[256, 5.0, 82236], [3, 14544, 1/1, 7.54338305504716], 13.529266]
[[256, 5.0, 82236], [3, 80488, 1/2, 13.508741003084342], 13.710486]
[[256, 5.0, 82236], [4, 80488, 1/2, 14.072713702997877], 18.099297]
[[256, 5.0, 82236], [5, 80488, 1/2, 18.104476754671126], 24.577532]
[[256, 5.0, 82236], [4, 14544, 1/1, 9.473406087856736], 19.782538]
[[256, 5.0, 82236], [6, 80488, 1/2, 22.089770567720898], 30.475226]
[[256, 5.0, 82236], [5, 14544, 1/1, 11.657865078385605], 26.352745]
[[256, 5.0, 87083], [1, 62679, 1/1, 4.210963245374442], 7.847466]
[[256, 5.0, 87083], [2, 62679, 1/1, 10.690610974919597], 16.813246]
[[256, 5.0, 82236], [6, 14544, 1/1, 14.04035858746198], 44.209237]
[[256, 5.0, 82236], [7, 80488, 1/2, 26.481352317829135], 61.639656]
[[256, 5.0, 87083], [3, 62679, 1/1, 15.077838989988585], 30.834294]
[[256, 5.0, 87083], [4, 62679, 1/1, 18.920279601720836], 48.810478]
[[256, 5.0, 82236], [7, 14544, 1/1, 17.648838957194467], 90.824809]
[[256, 5.0, 82236], [8, 80488, 1/2, 27.897580250421385], 111.617748]
[[256, 5.0, 87083], [5, 62679, 1/1, 19.908871961817482], 66.519008]
[[256, 5.0, 87083], [6, 62679, 1/1, 21.317143874182637], 105.842425]
[[256, 5.0, 82236], [8, 14544, 1/1, 21.43350768021601], 168.376776]
[[256, 5.0, 82236], [9, 80488, 1/2, 31.050792518633934], 189.486987]
[[256, 5.0, 87083], [1, 1009, 1/1, 6.828137311231966], 13.334797]
[[256, 5.0, 87083], [7, 62679, 1/1, 24.170198327249942], 146.145987]
[[256, 5.0, 87083], [2, 1009, 1/1, 8.181415895541182], 26.333936]
[[256, 5.0, 82236], [9, 14544, 1/1, 21.96369870270697], 226.298745]
[[256, 5.0, 87083], [3, 1009, 1/1, 12.88308626451341], 44.818888]
[[256, 5.0, 82236], [10, 80488, 1/2, 33.283816113798615], 259.476797]
[[256, 5.0, 87083], [4, 1009, 1/1, 14.064562372741902], 64.214602]
[[256, 5.0, 87083], [5, 1009, 1/1, 19.155410646697742], 78.60812]
[[256, 5.0, 87083], [8, 62679, 1/1, 29.546064586754202], 207.62423]
[[256, 5.0, 82236], [10, 14544, 1/1, 24.616868041795726], 306.534324]
[[256, 5.0, 82236], [11, 80488, 1/2, 40.41051381475809], 325.599889]
[[256, 5.0, 87083], [6, 1009, 1/1, 25.67865518096425], 94.319305]
[[256, 5.0, 49286], [1, 69509, 1/1, 5.195334210629163], 10.671053]
[[256, 5.0, 49286], [2, 69509, 1/1, 7.39977646144124], 25.368671]
[[256, 5.0, 87083], [9, 62679, 1/1, 35.849495739774234], 266.641538]
[[256, 5.0, 49286], [3, 69509, 1/1, 11.71963586226967], 35.850281]
[[256, 5.0, 87083], [7, 1009, 1/2, 30.776855985982017], 139.824988]
[[256, 5.0, 82236], [12, 80488, 1/2, 45.92555825190553], 384.414727]
[[256, 5.0, 82236], [11, 14544, 1/1, 26.10336890999237], 368.218975]
[[256, 5.0, 49286], [4, 69509, 1/1, 14.648159598422962], 44.900656]
[[256, 5.0, 49286], [5, 69509, 1/1, 17.94775079371676], 54.498369]
[[256, 5.0, 87083], [10, 62679, 1/1, 37.03008799796365], 310.313729]
[[256, 5.0, 87083], [8, 1009, 1/2, 36.45625868386382], 178.89796]
[[256, 5.0, 49286], [6, 69509, 1/1, 21.074544423589842], 66.842085]
[[256, 5.0, 49286], [1, 56191, 1/1, 1.1821582540850706], 7.962483]
[[256, 5.0, 82236], [12, 14544, 1/2, 30.864672154015267], 425.970623]
[[256, 5.0, 49286], [2, 56191, 1/1, 8.372247015616077], 21.198877]
[[256, 5.0, 87083], [11, 62679, 1/2, 40.24442025815692], 357.031362]
[[256, 5.0, 49286], [3, 56191, 1/1, 10.430403963358959], 33.506599]
[[256, 5.0, 49286], [7, 69509, 1/1, 22.022780339936663], 107.120345]
[[256, 5.0, 49286], [4, 56191, 1/1, 16.72586841564918], 42.366229]
[[256, 5.0, 87083], [9, 1009, 1/2, 42.58695861645702], 215.888803]
[[256, 5.0, 49286], [5, 56191, 1/1, 20.175854744476837], 63.064444]
[[256, 5.0, 49286], [8, 69509, 1/1, 25.19869643192314], 147.56908]
[[256, 5.0, 87083], [10, 1009, 1/2, 46.65580469159916], 270.42809]
[[256, 5.0, 91606], [1, 17306, 1/1, 3.2268153610932298], 15.896081]
[[256, 5.0, 87083], [12, 62679, 1/2, 44.16341038082787], 417.771511]
[[256, 5.0, 49286], [6, 56191, 1/1, 26.129888363124923], 123.214063]
[[256, 5.0, 49286], [7, 56191, 1/1, 31.639366029305627], 127.720208]
[[256, 5.0, 91606], [2, 17306, 1/1, 8.274778285583187], 28.610123]
[[256, 5.0, 49286], [9, 69509, 1/1, 27.18609733379425], 218.662675]
[[256, 5.0, 91606], [3, 17306, 1/1, 10.738497615061798], 40.48721]
[[256, 5.0, 87083], [11, 1009, 1/2, 51.86240450203398], 341.22101]
[[256, 5.0, 91606], [4, 17306, 1/1, 13.31774615502778], 55.249391]
[[256, 5.0, 49286], [8, 56191, 1/1, 35.76516038262241], 176.991157]
[[256, 5.0, 49286], [10, 69509, 1/1, 31.483620903871753], 267.312464]
[[256, 5.0, 91606], [5, 17306, 1/1, 14.543345231123713], 66.733411]
[[256, 5.0, 91606], [1, 45343, 1/1, 2.8114946053409797], 13.32354]
[[256, 5.0, 91606], [6, 17306, 1/1, 19.07401305220469], 91.086829]
[[256, 5.0, 91606], [2, 45343, 1/1, 7.192971464341829], 24.93977]
[[256, 5.0, 87083], [12, 1009, 1/2, 52.86179356190206], 395.249715]
[[256, 5.0, 49286], [9, 56191, 1/1, 37.80642144780364], 231.117422]
[[256, 5.0, 91606], [3, 45343, 1/1, 12.75682268155594], 35.418441]
[[256, 5.0, 91606], [7, 17306, 1/1, 22.755413957324187], 140.279519]
[[256, 5.0, 49286], [11, 69509, 1/1, 35.05594893828027], 335.462996]
[[256, 5.0, 91606], [4, 45343, 1/1, 19.451963296620953], 51.088187]
[[256, 5.0, 49286], [10, 56191, 1/1, 42.942101669843034], 282.681412]
[[256, 5.0, 91606], [5, 45343, 1/1, 26.990215531867477], 60.244657]
[[256, 5.0, 91606], [8, 17306, 1/1, 28.800492734331726], 180.219034]
[[256, 5.0, 42303], [1, 98576, 1/1, 3.0677783995705785], 10.846486]
[[256, 5.0, 49286], [12, 69509, 75/82, 39.47031341931197], 403.742075]
[[256, 5.0, 91606], [6, 45343, 1/1, 31.144246229586898], 110.704794]
[[256, 5.0, 42303], [2, 98576, 1/1, 10.439658001413182], 26.283773]
[[256, 5.0, 49286], [11, 56191, 12/13, 45.56188287534021], 329.968138]
[[256, 5.0, 42303], [3, 98576, 1/1, 14.560956225601945], 30.855715]
[[256, 5.0, 91606], [7, 45343, 1/1, 35.03612303040348], 133.964509]
[[256, 5.0, 91606], [9, 17306, 8/9, 34.084686447305394], 233.350859]
[[256, 5.0, 42303], [4, 98576, 1/1, 18.812742853645634], 49.74572]
[[256, 5.0, 42303], [5, 98576, 1/1, 24.09807878610418], 73.822629]
[[256, 5.0, 42303], [6, 98576, 1/1, 27.173762074325357], 86.474056]
[[256, 5.0, 49286], [12, 56191, 12/13, 48.310316918208], 412.576547]
[[256, 5.0, 91606], [8, 45343, 1/1, 37.49074406021461], 197.756701]
[[256, 5.0, 91606], [10, 17306, 8/11, 37.01749337872219], 298.833441]
[[256, 5.0, 42303], [1, 64336, 1/1, 1.5173823628443066], 11.909959]
[[256, 5.0, 42303], [2, 64336, 1/1, 4.565871626196408], 23.65722]
[[256, 5.0, 42303], [3, 64336, 1/1, 5.851043169880276], 39.634318]
[[256, 5.0, 91606], [9, 45343, 21/22, 42.47050064421778], 251.816032]
[[256, 5.0, 42303], [4, 64336, 1/1, 11.230814647742237], 54.445736]
[[256, 5.0, 42303], [7, 98576, 1/1, 31.429310899975395], 178.964068]
[[256, 5.0, 91606], [11, 17306, 8/13, 40.80623362637386], 380.360576]
[[256, 5.0, 42303], [5, 64336, 1/1, 15.639255072196349], 75.115345]
[[256, 5.0, 42303], [8, 98576, 13/14, 34.8483562794088], 185.582455]
[[256, 5.0, 91606], [10, 45343, 7/8, 44.633243155985674], 313.77908]
[[256, 5.0, 42303], [6, 64336, 1/1, 19.5394100212336], 85.969175]
[[256, 5.0, 47212], [1, 93876, 1/1, 4.086448888699298], 10.514942]
[[256, 5.0, 47212], [2, 93876, 1/1, 9.74414582662277], 24.146045]
[[256, 5.0, 42303], [9, 98576, 13/14, 37.22993642609005], 233.588272]
[[256, 5.0, 91606], [12, 17306, 1/2, 46.125355274385484], 448.429572]
[[256, 5.0, 47212], [3, 93876, 1/1, 10.729416013915436], 36.807405]
[[256, 5.0, 42303], [7, 64336, 1/1, 25.338286696839763], 122.577546]
[[256, 5.0, 47212], [4, 93876, 1/1, 17.127554930900743], 52.209458]
[[256, 5.0, 91606], [11, 45343, 21/26, 50.477539639672976], 382.996868]
[[256, 5.0, 42303], [10, 98576, 13/14, 40.93045410334194], 298.057063]
[[256, 5.0, 47212], [5, 93876, 1/1, 19.204042981296592], 69.758714]
[[256, 5.0, 42303], [8, 64336, 1/1, 26.167966109112974], 175.491302]
[[256, 5.0, 47212], [1, 24306, 1/1, 5.719014969771987], 12.659736]
[[256, 5.0, 47212], [6, 93876, 1/1, 23.198492066775454], 88.905604]
