A1
[[30, 5.0, 8323], [11, 88467, 1/3, 13.305706915999256], 14.008137]
[[30, 5.0, 8323], [12, 88467, 1/3, 15.22318955755887], 15.883713]
[[30, 5.0, 8323], [13, 88467, 1/3, 15.869752145440438], 17.663566]
[[30, 5.0, 8323], [14, 88467, 1/3, 16.86919717451556], 21.396404]
[[30, 5.0, 8323], [15, 88467, 1/3, 17.466713069179416], 22.390369]
[[30, 5.0, 8323], [16, 88467, 1/3, 18.2709404497238], 24.027684]
[[202, 5.0, 96498], [1, 74541, 1/1, 1.007426643294249], 13.916814]
[[202, 5.0, 96498], [2, 74541, 1/1, 4.161938459046501], 25.261984]
[[202, 5.0, 96498], [3, 74541, 1/1, 4.903282835465893], 38.74655]
[[332, 5.0, 25876], [13, 53502, 1/2, 33.21921204359859], 1140.52886]
[[202, 5.0, 96498], [4, 74541, 1/1, 9.739699839751758], 51.622104]
[[202, 5.0, 96498], [5, 74541, 1/2, 12.237759165707622], 66.207535]
[[408, 5.0, 72554], [8, 12720, 1/1, 43.61634239866198], 770.56455]
[[202, 5.0, 96498], [6, 74541, 1/2, 13.675079365512172], 76.408459]
[[202, 5.0, 96498], [7, 74541, 1/2, 17.267677088977756], 92.443743]
[[202, 5.0, 96498], [8, 74541, 1/2, 18.225502801396228], 114.691162]
[[332, 5.0, 25876], [14, 53502, 1/2, 39.02929956414707], 1345.272913]
[[202, 5.0, 96498], [9, 74541, 1/2, 21.5228379533519], 161.325851]
[[202, 5.0, 96498], [10, 74541, 1/2, 22.804751867884008], 210.8155]
[[408, 5.0, 72554], [9, 12720, 1/2, 51.43710574576589], 1052.105826]
[[202, 5.0, 96498], [11, 74541, 1/2, 26.724487536470384], 267.422243]
[[172, 5.0, 63707], [1, 85024, 1/1, 0.8269473517810231], 10.243292]
[[172, 5.0, 63707], [2, 85024, 1/1, 2.93466949677102], 19.626991]
[[172, 5.0, 63707], [3, 85024, 1/1, 5.459201152113925], 29.475757]
[[332, 5.0, 25876], [15, 53502, 1/2, 43.199877306001014], 1622.136844]
[[202, 5.0, 96498], [12, 74541, 1/2, 32.10393592868165], 320.385791]
[[172, 5.0, 63707], [4, 85024, 1/1, 7.080975871080861], 37.526383]
[[172, 5.0, 63707], [5, 85024, 1/1, 11.932210211157692], 50.440067]
[[172, 5.0, 63707], [6, 85024, 1/1, 12.710708082306047], 58.747003]
[[202, 5.0, 96498], [13, 74541, 1/2, 33.377196184711586], 378.502071]
[[172, 5.0, 63707], [7, 85024, 1/1, 15.064855637273716], 72.030572]
[[172, 5.0, 63707], [8, 85024, 1/1, 18.148844474819764], 81.781298]
