[[256, 2.0, 79067], [11, 18876, 1/4, 71.07662987699605], 23.759556]
[[256, 2.0, 79718], [5, 1031, 7/8, 14.179849138064881], 9.953253]
[[256, 2.0, 79718], [6, 1031, 7/9, 16.834579543096112], 11.368376]
[[256, 2.0, 79067], [12, 18876, 1/4, 72.86658024857145], 27.721991]
[[256, 2.0, 79718], [7, 1031, 1/2, 21.911515193387782], 13.541906]
[[256, 2.0, 34602], [1, 3585, 1/1, 7.094419682577749], 2.470582]
[[256, 2.0, 79718], [8, 1031, 1/2, 31.871412817837218], 15.607236]
[[256, 2.0, 34602], [2, 3585, 1/1, 12.975335376310806], 5.207075]
[[256, 2.0, 79067], [13, 18876, 3/14, 76.47390216638597], 30.831293]
[[256, 2.0, 79718], [9, 1031, 1/4, 40.945458055982684], 18.597618]
[[256, 2.0, 34602], [3, 3585, 3/4, 19.798946369888817], 7.372172]
[[256, 2.0, 79718], [10, 1031, 1/4, 42.67861749358373], 20.461633]
[[256, 2.0, 34602], [4, 3585, 1/2, 28.887854769291465], 8.897078]
[[256, 2.0, 79067], [14, 18876, 3/14, 79.7542035979708], 37.920312]
[[256, 2.0, 79718], [11, 1031, 1/4, 49.99641617135076], 23.268237]
[[256, 2.0, 34602], [5, 3585, 1/2, 32.78603868057415], 11.234806]
[[256, 2.0, 79718], [12, 1031, 1/6, 58.08997919302196], 26.787126]
[[256, 2.0, 34602], [6, 3585, 5/12, 39.42834735512049], 13.665909]
[[256, 2.0, 79067], [15, 18876, 1/5, 82.41782340589731], 43.272445]
[[256, 2.0, 34602], [7, 3585, 5/14, 41.87268762441597], 15.560121]
[[256, 2.0, 79718], [13, 1031, 1/6, 60.12944242546944], 30.365213]
[[256, 2.0, 95862], [1, 10315, 1/2, 4.235999992268741], 2.573648]
[[256, 2.0, 79718], [14, 1031, 1/6, 63.80199437615518], 31.922524]
[[256, 2.0, 34602], [8, 3585, 5/16, 50.82116536803], 18.043987]
[[256, 2.0, 95862], [2, 10315, 1/2, 6.109438260844559], 4.368769]
[[256, 2.0, 34602], [9, 3585, 5/18, 58.51186657903629], 20.574655]
[[256, 2.0, 79067], [16, 18876, 1/5, 91.90414709686746], 52.422218]
[[256, 2.0, 95862], [3, 10315, 1/2, 8.732080759467433], 6.781917]
[[256, 2.0, 79718], [15, 1031, 1/6, 64.52246098771721], 36.048699]
[[256, 2.0, 34602], [10, 3585, 1/4, 64.89258559178083], 21.620023]
[[256, 2.0, 95862], [4, 10315, 1/2, 12.113659377433866], 8.748884]
[[256, 2.0, 34602], [11, 3585, 5/22, 69.96101481776012], 22.677667]
[[256, 2.0, 95862], [5, 10315, 1/4, 17.618356447385402], 10.723161]
[[256, 2.0, 79718], [16, 1031, 1/6, 71.72546295235381], 40.859731]
[[256, 2.0, 95862], [6, 10315, 1/4, 20.17769409630096], 12.993522]
[[256, 2.0, 34602], [12, 3585, 5/24, 77.07754150626772], 26.077769]
[[256, 2.0, 55794], [1, 79706, 1/1, 5.575753259549872], 2.967296]
[[256, 2.0, 34602], [13, 3585, 5/24, 77.1178043673567], 29.098549]
[[256, 2.0, 95862], [7, 10315, 1/4, 28.46060686039825], 15.478906]
[[256, 2.0, 95862], [8, 10315, 1/6, 35.592406325419965], 17.836631]
[[256, 2.0, 55794], [2, 79706, 1/2, 14.24342300885873], 4.987808]
[[256, 2.0, 34602], [14, 3585, 1/5, 84.24159396498638], 30.834159]
[[256, 2.0, 55794], [3, 79706, 1/2, 18.1756121088453], 6.207467]
[[256, 2.0, 95862], [9, 10315, 1/6, 42.69336216060172], 20.232919]
[[256, 2.0, 55794], [4, 79706, 1/2, 29.36528596932632], 8.302344]
[[256, 2.0, 95862], [10, 10315, 1/6, 48.35302032311402], 22.892052]
[[256, 2.0, 34602], [15, 3585, 5/26, 89.59860540728052], 36.903672]
[[256, 2.0, 95862], [11, 10315, 1/8, 50.986160283545615], 23.977196]
[[256, 2.0, 55794], [5, 79706, 1/4, 36.48871063973734], 9.873241]
[[256, 2.0, 55794], [6, 79706, 1/6, 44.53830764283241], 12.052261]
[[256, 2.0, 95862], [12, 10315, 1/10, 55.74101011232931], 26.458406]
[[256, 2.0, 55794], [7, 79706, 1/6, 50.45848635059907], 14.250531]
[[256, 2.0, 34602], [16, 3585, 1/6, 96.53551514086094], 44.338246]
[[256, 2.0, 66437], [1, 90902, 1/1, 5.18460225052195], 2.851576]
[[256, 2.0, 55794], [8, 79706, 1/6, 51.97785440897348], 17.125147]
[[256, 2.0, 95862], [13, 10315, 1/10, 58.70722291981534], 32.244512]
[[256, 2.0, 66437], [2, 90902, 1/2, 12.305586915721566], 4.434887]
[[256, 2.0, 55794], [9, 79706, 1/8, 57.565237208864744], 19.296706]
[[256, 2.0, 95862], [14, 10315, 1/10, 66.16887208928905], 35.578676]
[[256, 2.0, 66437], [3, 90902, 1/3, 20.600867676793786], 6.960964]
[[256, 2.0, 55794], [10, 79706, 1/8, 59.113566935101936], 21.961941]
[[256, 2.0, 66437], [4, 90902, 1/4, 29.13091850770035], 9.282441]
[[256, 2.0, 55794], [11, 79706, 1/10, 69.3942875997363], 23.679538]
[[256, 2.0, 95862], [15, 10315, 1/10, 71.74425016781991], 41.738972]
[[256, 2.0, 66437], [5, 90902, 1/4, 31.96877293526138], 11.332873]
[[256, 2.0, 55794], [12, 79706, 1/10, 76.06274614434204], 25.347105]
[[256, 2.0, 66437], [6, 90902, 1/4, 32.51316010536169], 13.032613]
[[256, 2.0, 55794], [13, 79706, 1/10, 79.46699577417561], 28.343202]
