A1
[[31, 2.0, 33229], [1, 46537, 1/2, 2.290866119707792], 0.192989]
[[31, 2.0, 33229], [2, 46537, 1/2, 3.4183634172310455], 0.294296]
[[31, 2.0, 33229], [3, 46537, 1/4, 5.136016413246575], 0.415393]
[[31, 2.0, 33229], [4, 46537, 1/4, 6.5799210648219315], 0.591456]
[[31, 2.0, 33229], [5, 46537, 1/5, 7.952836318359526], 0.687745]
[[31, 2.0, 33229], [6, 46537, 1/5, 10.861411683784937], 0.804673]
[[31, 2.0, 33229], [7, 46537, 1/5, 11.737731322228582], 0.912637]
[[31, 2.0, 33229], [8, 46537, 1/7, 13.31631669252557], 0.988235]
[[31, 2.0, 33229], [9, 46537, 1/9, 15.050771741070573], 1.213235]
[[31, 2.0, 33229], [10, 46537, 1/11, 17.67285381205636], 1.355358]
[[31, 2.0, 33229], [11, 46537, 1/11, 19.899871041146135], 1.471498]
[[31, 2.0, 33229], [12, 46537, 1/11, 22.16650246449784], 1.587008]
[[31, 2.0, 33229], [13, 46537, 1/11, 22.747830992520694], 1.757558]
[[31, 2.0, 33229], [14, 46537, 1/13, 24.95467074668359], 1.843795]
[[31, 2.0, 33229], [15, 46537, 1/13, 25.605243316239644], 2.103492]
[[76, 2.0, 59334], [1, 29915, 1/1, 4.881660753009128], 0.715119]
[[76, 2.0, 59334], [2, 29915, 1/1, 6.021635285888401], 1.230282]
[[76, 2.0, 59334], [3, 29915, 7/10, 8.065318529430337], 1.685937]
[[31, 2.0, 33229], [16, 46537, 1/13, 27.96185091365662], 2.202605]
[[76, 2.0, 59334], [4, 29915, 1/2, 8.859353118002291], 2.118967]
[[76, 2.0, 59334], [5, 29915, 1/2, 12.021413121597625], 2.642193]
[[35, 2.0, 21178], [1, 26126, 1/2, 1.8436897765529212], 0.313105]
[[76, 2.0, 59334], [6, 29915, 3/8, 15.001940357952003], 3.392443]
[[35, 2.0, 21178], [2, 26126, 1/2, 3.0658691673603307], 0.563191]
[[76, 2.0, 59334], [7, 29915, 3/10, 18.639662507294535], 3.953128]
[[35, 2.0, 21178], [3, 26126, 1/4, 6.242642896120493], 0.757261]
[[76, 2.0, 59334], [8, 29915, 1/4, 22.613878542565907], 4.465683]
[[35, 2.0, 21178], [4, 26126, 1/6, 8.48677799127973], 0.900971]
[[76, 2.0, 59334], [9, 29915, 1/4, 23.263252647942387], 4.996825]
[[76, 2.0, 59334], [10, 29915, 3/14, 25.60200599648146], 5.548512]
[[35, 2.0, 21178], [5, 26126, 1/6, 9.91986152341466], 1.17241]
[[35, 2.0, 21178], [6, 26126, 1/6, 10.199912416945109], 1.427915]
[[76, 2.0, 59334], [11, 29915, 3/16, 29.118022348505427], 6.275238]
[[35, 2.0, 21178], [7, 26126, 1/8, 11.907693708300876], 1.638819]
[[35, 2.0, 21178], [8, 26126, 1/8, 12.528913514048709], 1.854896]
[[76, 2.0, 59334], [12, 29915, 1/6, 33.697830650579924], 6.931308]
[[35, 2.0, 21178], [9, 26126, 1/9, 14.481274368233926], 2.21351]
[[76, 2.0, 59334], [13, 29915, 3/20, 35.54849579664825], 7.667564]
[[35, 2.0, 21178], [10, 26126, 1/9, 15.01050633994886], 2.315939]
[[76, 2.0, 59334], [14, 29915, 3/20, 36.35172785028546], 8.301367]
[[35, 2.0, 21178], [11, 26126, 1/11, 18.11906363225183], 2.630481]
[[35, 2.0, 21178], [12, 26126, 1/11, 18.56850528878858], 2.941077]
[[181, 2.0, 43972], [1, 74514, 1/1, 2.5758306101862325], 1.707871]
[[76, 2.0, 59334], [15, 29915, 3/22, 40.31380058748573], 8.899789]
[[35, 2.0, 21178], [13, 26126, 1/13, 21.61151052152031], 3.253668]
[[35, 2.0, 21178], [14, 26126, 1/13, 23.18384035622909], 3.432219]
[[35, 2.0, 21178], [15, 26126, 1/14, 25.725475114070086], 3.538263]
[[76, 2.0, 59334], [16, 29915, 1/8, 44.798097777979464], 9.497706]
[[181, 2.0, 43972], [2, 74514, 1/1, 10.171686301025995], 3.026339]
[[35, 2.0, 21178], [16, 26126, 1/14, 26.783170250014194], 4.031389]
[[181, 2.0, 43972], [3, 74514, 1/2, 12.924879755776592], 4.176273]
[[181, 2.0, 43972], [4, 74514, 1/2, 20.710433149840934], 5.486503]
[[181, 2.0, 43972], [5, 74514, 1/3, 29.874963919424836], 6.435301]
[[394, 2.0, 12156], [1, 17224, 1/1, 2.945609980665035], 3.752213]
[[181, 2.0, 43972], [6, 74514, 1/3, 37.08853604135683], 7.648988]
[[181, 2.0, 43972], [7, 74514, 1/4, 43.4204750937608], 8.838099]
[[181, 2.0, 43972], [8, 74514, 1/5, 51.618391411364044], 10.0475]
[[394, 2.0, 12156], [2, 17224, 1/2, 7.455528391845059], 6.709701]
[[181, 2.0, 43972], [9, 74514, 1/5, 53.44094125213807], 11.41246]
[[181, 2.0, 43972], [10, 74514, 1/5, 54.847842222640686], 12.588872]
[[394, 2.0, 12156], [3, 17224, 1/2, 17.986159179903478], 10.131441]
[[181, 2.0, 43972], [11, 74514, 1/5, 56.824757555676044], 14.873344]
[[181, 2.0, 43972], [12, 74514, 1/6, 59.67856679900335], 15.909615]
[[181, 2.0, 43972], [13, 74514, 1/6, 63.225492150013295], 17.197144]
[[394, 2.0, 12156], [4, 17224, 1/2, 20.712401456889623], 12.350789]
[[181, 2.0, 43972], [14, 74514, 1/7, 68.12583861184102], 19.631037]
[[181, 2.0, 43972], [15, 74514, 1/7, 72.18830377946601], 20.989542]
[[47, 2.0, 83710], [1, 11181, 1/1, 2.7469292047599643], 0.390137]
[[394, 2.0, 12156], [5, 17224, 1/2, 22.205154359474754], 15.44095]
[[181, 2.0, 43972], [16, 74514, 1/8, 74.7149924761562], 21.800829]
[[47, 2.0, 83710], [2, 11181, 1/1, 3.8001683396950723], 0.599424]
[[47, 2.0, 83710], [3, 11181, 3/4, 6.997130233927866], 0.842269]
[[47, 2.0, 83710], [4, 11181, 3/4, 7.978405993250395], 1.149857]
[[47, 2.0, 83710], [5, 11181, 1/2, 9.699763622426246], 1.409466]
[[394, 2.0, 12156], [6, 17224, 1/4, 28.01507601730594], 19.279396]
[[47, 2.0, 83710], [6, 11181, 5/11, 11.219716538090406], 1.65959]
[[47, 2.0, 83710], [7, 11181, 7/17, 14.663038231941941], 1.816653]
[[47, 2.0, 83710], [8, 11181, 5/16, 17.94650388142531], 2.206747]
[[47, 2.0, 83710], [9, 11181, 5/17, 19.506472562629604], 2.4553]
[[47, 2.0, 83710], [10, 11181, 1/4, 21.653143892254825], 2.751912]
[[394, 2.0, 12156], [7, 17224, 1/4, 32.25105424666305], 22.117881]
[[47, 2.0, 83710], [11, 11181, 3/14, 22.974693055588553], 3.293649]
[[47, 2.0, 83710], [12, 11181, 3/16, 26.3833545365269], 3.53214]
[[47, 2.0, 83710], [13, 11181, 5/27, 28.879393517015266], 3.746231]
[[52, 2.0, 24115], [1, 12895, 1/1, 3.726252616352107], 0.533227]
