[[70, 1.7099759466766968, 13314], [2, 39218, 1/1, 2.593975284214152], 0.811712]
[[70, 1.7099759466766968, 13314], [3, 39218, 1/2, 5.572893363465519], 1.017804]
[[406, 1.7099759466766968, 42239], [9, 1554, 1/4, 52.30588544729352], 27.972521]
[[70, 1.7099759466766968, 13314], [4, 39218, 1/4, 7.862602073213713], 1.467599]
[[70, 1.7099759466766968, 13314], [5, 39218, 1/6, 9.988522169776719], 1.891607]
[[70, 1.7099759466766968, 13314], [6, 39218, 1/8, 12.139597981731141], 2.263668]
[[70, 1.7099759466766968, 13314], [7, 39218, 1/10, 16.055223888446704], 2.555962]
[[70, 1.7099759466766968, 13314], [8, 39218, 1/10, 16.492043753891796], 3.125919]
[[406, 1.7099759466766968, 42239], [10, 1554, 1/4, 56.9976418567615], 30.760025]
[[70, 1.7099759466766968, 13314], [9, 39218, 1/12, 19.711998868728273], 3.523827]
[[70, 1.7099759466766968, 13314], [10, 39218, 1/14, 22.58590629525418], 4.152648]
[[70, 1.7099759466766968, 13314], [11, 39218, 1/14, 23.810704374466944], 4.463599]
[[70, 1.7099759466766968, 13314], [12, 39218, 1/16, 26.32318197403927], 4.720689]
[[70, 1.7099759466766968, 13314], [13, 39218, 1/17, 28.271201474208656], 5.05684]
[[70, 1.7099759466766968, 13314], [14, 39218, 1/19, 30.557430461262452], 5.61784]
[[406, 1.7099759466766968, 42239], [11, 1554, 3/14, 65.88215163766468], 39.075015]
[[170, 1.7099759466766968, 22480], [1, 90537, 1/2, 4.672060387696718], 1.556158]
[[70, 1.7099759466766968, 13314], [15, 39218, 1/19, 32.23361279746678], 6.644812]
[[170, 1.7099759466766968, 22480], [2, 90537, 1/2, 8.981544693143594], 2.818356]
[[312, 1.7099759466766968, 73791], [13, 83724, 1/12, 64.16542583798142], 76.051048]
[[70, 1.7099759466766968, 13314], [16, 39218, 1/19, 34.30572424552268], 7.145933]
[[170, 1.7099759466766968, 22480], [3, 90537, 1/4, 15.037654161742115], 4.132957]
[[170, 1.7099759466766968, 22480], [4, 90537, 1/4, 18.35768031634251], 5.635692]
[[170, 1.7099759466766968, 22480], [5, 90537, 1/4, 20.952533152068817], 7.256007]
[[170, 1.7099759466766968, 22480], [6, 90537, 1/5, 28.579163949697403], 8.267606]
[[170, 1.7099759466766968, 22480], [7, 90537, 1/5, 31.823717729701784], 9.77194]
[[406, 1.7099759466766968, 42239], [12, 1554, 3/16, 72.50887177036985], 49.01677]
[[170, 1.7099759466766968, 22480], [8, 90537, 1/6, 35.53172953882319], 11.840355]
[[170, 1.7099759466766968, 22480], [9, 90537, 1/8, 42.67382389305524], 13.554492]
[[170, 1.7099759466766968, 22480], [10, 90537, 1/8, 46.939186430163886], 16.752893]
[[304, 1.7099759466766968, 81564], [1, 81410, 1/2, 7.555264631597362], 3.68498]
[[170, 1.7099759466766968, 22480], [11, 90537, 1/10, 53.405218228151895], 17.881581]
[[312, 1.7099759466766968, 73791], [14, 83724, 1/14, 69.73626360895233], 102.741138]
[[170, 1.7099759466766968, 22480], [12, 90537, 1/10, 55.76829177925184], 20.744264]
[[304, 1.7099759466766968, 81564], [2, 81410, 1/2, 14.978585041115945], 7.098886]
[[170, 1.7099759466766968, 22480], [13, 90537, 1/10, 56.71643999833093], 23.30599]
[[304, 1.7099759466766968, 81564], [3, 81410, 1/4, 28.670865644400212], 9.215121]
[[406, 1.7099759466766968, 42239], [13, 1554, 1/6, 79.01864577580896], 70.408928]
[[170, 1.7099759466766968, 22480], [14, 90537, 1/10, 57.10072058461913], 25.258107]
[[304, 1.7099759466766968, 81564], [4, 81410, 1/6, 35.65151788380677], 12.225863]
[[170, 1.7099759466766968, 22480], [15, 90537, 1/10, 65.78059187060043], 26.378397]
[[304, 1.7099759466766968, 81564], [5, 81410, 1/6, 38.982572395554264], 14.247786]
[[170, 1.7099759466766968, 22480], [16, 90537, 1/10, 69.91461348946865], 27.568136]
[[304, 1.7099759466766968, 81564], [6, 81410, 1/8, 44.29135800489567], 17.606683]
[[304, 1.7099759466766968, 81564], [7, 81410, 1/8, 49.1676454875894], 20.197019]
[[312, 1.7099759466766968, 73791], [15, 83724, 1/16, 76.69800325035374], 131.568066]
[[38, 1.7099759466766968, 2718], [1, 45955, 1/1, 3.2827068352191207], 0.368171]
[[38, 1.7099759466766968, 2718], [2, 45955, 1/1, 4.74259212892907], 0.708721]
[[304, 1.7099759466766968, 81564], [8, 81410, 1/8, 57.14519429919274], 21.881609]
[[38, 1.7099759466766968, 2718], [3, 45955, 1/2, 6.580682122333796], 0.856802]
[[406, 1.7099759466766968, 42239], [14, 1554, 3/20, 86.67166221885859], 93.588922]
[[38, 1.7099759466766968, 2718], [4, 45955, 1/2, 8.594357416706028], 1.160228]
[[38, 1.7099759466766968, 2718], [5, 45955, 1/3, 10.870662277296914], 1.333136]
[[304, 1.7099759466766968, 81564], [9, 81410, 1/8, 64.48190563572044], 24.954959]
[[38, 1.7099759466766968, 2718], [6, 45955, 1/4, 14.769218603833373], 1.734152]
[[38, 1.7099759466766968, 2718], [7, 45955, 1/5, 19.13079882000801], 1.856271]
[[38, 1.7099759466766968, 2718], [8, 45955, 1/5, 19.36510118007996], 2.128995]
[[38, 1.7099759466766968, 2718], [9, 45955, 1/5, 21.098927271437653], 2.576906]
[[304, 1.7099759466766968, 81564], [10, 81410, 1/8, 72.16396962497825], 27.048706]
[[38, 1.7099759466766968, 2718], [10, 45955, 1/5, 22.49374362714138], 2.881011]
[[38, 1.7099759466766968, 2718], [11, 45955, 1/5, 25.77621328402685], 3.104118]
[[406, 1.7099759466766968, 42239], [15, 1554, 3/22, 95.85483979402288], 100.120546]
[[38, 1.7099759466766968, 2718], [12, 45955, 1/5, 27.45261700559852], 3.650794]
[[304, 1.7099759466766968, 81564], [11, 81410, 1/8, 76.77698033271687], 29.745125]
[[38, 1.7099759466766968, 2718], [13, 45955, 2/11, 29.03963095472317], 3.912193]
[[171, 1.7099759466766968, 57496], [1, 96571, 1/2, 4.44240531608126], 1.513096]
[[38, 1.7099759466766968, 2718], [14, 45955, 2/11, 30.503316780939606], 4.367302]
[[38, 1.7099759466766968, 2718], [15, 45955, 2/13, 33.18663397203778], 4.443795]
[[171, 1.7099759466766968, 57496], [2, 96571, 1/2, 4.896530994679003], 2.76279]
[[38, 1.7099759466766968, 2718], [16, 45955, 2/13, 35.86550612151846], 5.290444]
[[171, 1.7099759466766968, 57496], [3, 96571, 1/2, 9.593996146846028], 3.7578]
[[304, 1.7099759466766968, 81564], [12, 81410, 1/8, 82.91182446881847], 33.823715]
[[171, 1.7099759466766968, 57496], [4, 96571, 1/3, 15.66653473972636], 5.074159]
[[304, 1.7099759466766968, 81564], [13, 81410, 1/8, 86.86531043921131], 35.973787]
[[171, 1.7099759466766968, 57496], [5, 96571, 1/4, 24.39360280967709], 5.886964]
[[171, 1.7099759466766968, 57496], [6, 96571, 1/4, 29.521071870094335], 6.739095]
[[171, 1.7099759466766968, 57496], [7, 96571, 1/5, 33.904548365725134], 7.753683]
[[304, 1.7099759466766968, 81564], [14, 81410, 1/8, 94.54884629979391], 37.61834]
[[171, 1.7099759466766968, 57496], [8, 96571, 1/5, 36.810110242890076], 8.55515]
[[155, 1.7099759466766968, 67169], [1, 23989, 1/1, 5.736626027497046], 1.311511]
[[171, 1.7099759466766968, 57496], [9, 96571, 1/6, 44.14093586605177], 9.343248]
[[406, 1.7099759466766968, 42239], [16, 1554, 3/22, 100.88556632370634], 112.810228]
[[155, 1.7099759466766968, 67169], [2, 23989, 1/2, 8.86768374660356], 2.177206]
[[171, 1.7099759466766968, 57496], [10, 96571, 1/7, 51.64502934161247], 10.142036]
[[304, 1.7099759466766968, 81564], [15, 81410, 1/8, 99.87048583219888], 42.408775]
[[155, 1.7099759466766968, 67169], [3, 23989, 1/3, 13.488026420348717], 3.159425]
[[171, 1.7099759466766968, 57496], [11, 96571, 1/7, 53.66219227111616], 11.567257]
[[312, 1.7099759466766968, 73791], [16, 83724, 1/18, 83.74505944854458], 165.614518]
[[171, 1.7099759466766968, 57496], [12, 96571, 1/7, 56.84884455184695], 12.303345]
[[155, 1.7099759466766968, 67169], [4, 23989, 1/4, 18.90966939619014], 4.090355]
[[155, 1.7099759466766968, 67169], [5, 23989, 1/4, 22.6332976508696], 4.837198]
[[171, 1.7099759466766968, 57496], [13, 96571, 1/7, 60.62224216209783], 13.484375]
[[155, 1.7099759466766968, 67169], [6, 23989, 1/5, 27.46236528873654], 5.796749]
[[155, 1.7099759466766968, 67169], [7, 23989, 2/11, 31.247221742391623], 6.613517]
[[171, 1.7099759466766968, 57496], [14, 96571, 2/15, 66.42280503127179], 15.179291]
[[55, 1.7099759466766968, 56383], [1, 69247, 1/1, 2.739537839688537], 0.521686]
[[171, 1.7099759466766968, 57496], [15, 96571, 2/17, 74.0581348533595], 15.774638]
[[155, 1.7099759466766968, 67169], [8, 23989, 2/13, 33.38725981378374], 7.566173]
[[55, 1.7099759466766968, 56383], [2, 69247, 2/3, 3.6781688620423405], 0.846785]
[[55, 1.7099759466766968, 56383], [3, 69247, 3/5, 6.434941794187537], 1.228764]
[[155, 1.7099759466766968, 67169], [9, 23989, 2/15, 36.251827954731354], 8.704371]
[[55, 1.7099759466766968, 56383], [4, 69247, 2/5, 8.145959923841794], 1.533022]
[[304, 1.7099759466766968, 81564], [16, 81410, 1/8, 110.64017464705621], 47.611305]
[[55, 1.7099759466766968, 56383], [5, 69247, 1/3, 9.421347013544656], 1.86027]
[[155, 1.7099759466766968, 67169], [10, 23989, 2/15, 38.18688039382472], 9.658653]
[[171, 1.7099759466766968, 57496], [16, 96571, 2/17, 81.00315487403047], 17.058879]
[[55, 1.7099759466766968, 56383], [6, 69247, 1/4, 12.15618331255252], 2.220016]
[[155, 1.7099759466766968, 67169], [11, 23989, 2/15, 39.48643985945458], 10.547742]
[[55, 1.7099759466766968, 56383], [7, 69247, 1/5, 14.177811226015923], 2.491394]
[[55, 1.7099759466766968, 56383], [8, 69247, 1/6, 15.480513929319699], 3.209373]
[[155, 1.7099759466766968, 67169], [12, 23989, 1/8, 45.91732386896004], 11.646258]
[[40, 1.7099759466766968, 54156], [1, 42350, 1/1, 1.5039746618983212], 0.262017]
[[55, 1.7099759466766968, 56383], [9, 69247, 1/7, 20.42037519306773], 3.450838]
[[55, 1.7099759466766968, 56383], [10, 69247, 1/8, 23.189630665020537], 3.678436]
[[155, 1.7099759466766968, 67169], [13, 23989, 2/17, 50.48858553588601], 12.966675]
[[55, 1.7099759466766968, 56383], [11, 69247, 1/8, 24.265180982516203], 4.198816]
[[40, 1.7099759466766968, 54156], [2, 42350, 1/1, 1.998092250546753], 0.451285]
[[40, 1.7099759466766968, 54156], [3, 42350, 5/6, 3.6713708196805133], 0.693456]
[[55, 1.7099759466766968, 56383], [12, 69247, 1/9, 26.2265000815783], 4.808666]
[[155, 1.7099759466766968, 67169], [14, 23989, 2/19, 53.55169582337528], 13.431999]
[[40, 1.7099759466766968, 54156], [4, 42350, 1/2, 4.978721361553261], 0.87089]
[[55, 1.7099759466766968, 56383], [13, 69247, 1/9, 28.33879683279671], 5.008645]
[[40, 1.7099759466766968, 54156], [5, 42350, 1/3, 7.441948419846584], 1.050466]
[[55, 1.7099759466766968, 56383], [14, 69247, 1/9, 30.91186497097492], 5.340764]
[[40, 1.7099759466766968, 54156], [6, 42350, 1/4, 10.630097062434295], 1.126227]
[[40, 1.7099759466766968, 54156], [7, 42350, 1/4, 12.303375631568056], 1.497954]
